net,connected,length_mm,segment_count,panel_sequence,fold_sequence,crossing_kind,crossing_fold_id,crossing_theta_deg,crossing_predicted_strain,crossing_x_mm,crossing_y_mm
VBUS,1,125.607,74,54 37 54 37 55 73 57 73 57 73 58 73 58 59,S40 C52 C68 C70 C70 C71 S64,seam,40,96.014,0.238796,-97.266,134.233
VBUS,1,125.607,74,54 37 54 37 55 73 57 73 57 73 58 73 58 59,S40 C52 C68 C70 C70 C71 S64,crease,52,48.373,0.120308,-95.955,134.542
VBUS,1,125.607,74,54 37 54 37 55 73 57 73 57 73 58 73 58 59,S40 C52 C68 C70 C70 C71 S64,crease,68,17.6,0.043773,-52.74,138.609
VBUS,1,125.607,74,54 37 54 37 55 73 57 73 57 73 58 73 58 59,S40 C52 C68 C70 C70 C71 S64,crease,70,35.692,0.08877,-30.906,152.495
VBUS,1,125.607,74,54 37 54 37 55 73 57 73 57 73 58 73 58 59,S40 C52 C68 C70 C70 C71 S64,crease,70,35.692,0.08877,-20.629,155.215
VBUS,1,125.607,74,54 37 54 37 55 73 57 73 57 73 58 73 58 59,S40 C52 C68 C70 C70 C71 S64,crease,71,41.943,0.104317,0.139,158.832
VBUS,1,125.607,74,54 37 54 37 55 73 57 73 57 73 58 73 58 59,S40 C52 C68 C70 C70 C71 S64,seam,64,3.968,0.009868,2.451,161.117
V5,1,50.423,27,59 73 69 73 69 68 69 68,S77 S86 C64,seam,77,44.079,0.109629,6.965,169.592
V5,1,50.423,27,59 73 69 73 69 68 69 68,S77 S86 C64,seam,86,41.943,0.104317,6.016,115.291
V5,1,50.423,27,59 73 69 73 69 68 69 68,S77 S86 C64,crease,64,3.968,0.009868,8.72,112.707
USB_DM,1,171.872,92,54 53 54 53 52 53 52 51 52 51 50 51 50 68 73,C51 C50 C49 C48 C63 S85,crease,51,16.455,0.040926,-77.23,54.096
USB_DM,1,171.872,92,54 53 54 53 52 53 52 51 52 51 50 51 50 68 73,C51 C50 C49 C48 C63 S85,crease,50,12.65,0.031461,-50.967,61.696
USB_DM,1,171.872,92,54 53 54 53 52 53 52 51 52 51 50 51 50 68 73,C51 C50 C49 C48 C63 S85,crease,49,7.526,0.018717,-19.742,72.426
USB_DM,1,171.872,92,54 53 54 53 52 53 52 51 52 51 50 51 50 68 73,C51 C50 C49 C48 C63 S85,crease,48,4.89,0.012162,7.677,97.664
USB_DM,1,171.872,92,54 53 54 53 52 53 52 51 52 51 50 51 50 68 73,C51 C50 C49 C48 C63 S85,crease,63,37.612,0.093546,17.092,107.154
USB_DM,1,171.872,92,54 53 54 53 52 53 52 51 52 51 50 51 50 68 73,C51 C50 C49 C48 C63 S85,seam,85,44.079,0.109629,10.309,116.678
USB_DP,1,175.42,87,54 36 54 36 35 36 35 34 35 34 33 34 33 51 50 51 50 68 73,S39 C35 C34 C33 S53 C48 C63 S85,seam,39,48.054,0.119515,-78.183,36.907
